Var1;Var2;nome;added;sinonimia;Column1;Column2;Unnamed: 7;similarity_w2v;freq_Var1_w2v;freq_Var2_w2v;freq_Var1_ft;freq_Var2_ft
dare un dolore;addolorare;dolore;;y;dare;p;;;0;253;6;253
andare in dote;dotare;dote;;;andare;;;;0;22348;6;22348
avere in dote;dotare;dote;;;avere;;;0.2481939196586609;33;22348;34;22348
avere la dote;dotare;dote;;;avere;;;;0;22348;0;22348
dare in dote;dotare;dote;;;dare;;;;0;22348;18;22348
fare il dottore;addottorare;dottore;;;fare;;;;0;34;8;34
avere il dubbio;dubitare;dubbio;;y;avere;s;;0.5065721273422241;45;1948;45;1948
avere un dubbio;dubitare;dubbio;;y;avere;s;;0.43618106842041016;23;1948;23;1948
essere in dubbio;dubitare;dubbio;;y;essere;s;;0.5321495532989502;69;1948;69;1948
mettere in dubbio;dubitare;dubbio;;;mettere;;;0.6922208070755005;1146;1948;1146;1948
essere sotto esame;esaminare;esame;;;essere;;;;0;5002;12;5002
fare un esame;esaminare;esame;;y;fare;c;;0.4921566843986511;43;5002;45;5002
mettere sotto esame;esaminare;esame;;y;mettere;c;;;0;5002;14;5002
prendere in esame;esaminare;esame;;y;prendere;c;;0.6463062763214111;739;5002;739;5002
dare un esempio;esemplificare;esempio;;y;dare;s;;0.39533138275146484;66;449;66;449
fare da esempio;esemplificare;esempio;;;fare;;;;0;449;12;449
fare un esempio;esemplificare;esempio;;y;fare;s;;0.30679863691329956;965;449;965;449
prendere a esempio;esemplificare;esempio;;;prendere;;;;0;449;16;449
prendere da esempio;esemplificare;esempio;;;prendere;;;;0;449;11;449
prendere esempio;esemplificare;esempio;;;prendere;;;0.34428250789642334;122;449;122;449
prendere in esempio;esemplificare;esempio;;;prendere;;;;0;449;14;449
andare in esilio;esiliare;esilio;;;andare;;;0.7098901271820068;306;2227;306;2227
essere in esilio;esiliare;esilio;;;essere;;;0.6347415447235107;86;2227;86;2227
mandare in esilio;esiliare;esilio;;y;mandare;c;;0.824740469455719;193;2227;195;2227
mettere la faccia;affacciare;faccia;;;mettere;;;;0;6806;0;6806
avere fame;affamare;fame;;;avere;;;0.5047839879989624;243;337;248;337
avere fame;sfamare;fame;;;avere;;;0.50868821144104;243;541;248;541
fare la fame;affamare;fame;;;fare;;;;0;337;0;337
fare la fame;sfamare;fame;;;fare;;;;0;541;0;541
fare il fascista;fascistizzare;fascista;;;fare;;;;0;0;5;11
dare fastidio;infastidire;fastidio;;y;dare;p;;0.6171900033950806;619;1295;624;1295
andare a favore;favorire;favore;;y;andare;c;;0.3666797876358032;71;14724;71;14724
andare a favore;favoreggiare;favore;;y;andare;s;;0.31688544154167175;71;22;71;22
avere il favore;favorire;favore;;;avere;;;0.41175276041030884;28;14724;29;14724
avere il favore;favoreggiare;favore;;;avere;;;0.5529828071594238;28;22;29;22
essere a favore;favorire;favore;;y;essere;c;;0.3575330078601837;428;14724;430;14724
essere a favore;favoreggiare;favore;;;essere;;;0.39025938510894775;428;22;430;22
essere in favore;favorire;favore;;;essere;;;0.3456438183784485;45;14724;45;14724
essere in favore;favoreggiare;favore;;;essere;;;0.4743761420249939;45;22;45;22
essere in festa;festeggiare;festa;;;essere;;;0.6311436891555786;35;6327;35;6327
fare festa;festeggiare;festa;;y;fare;s;;0.5530737638473511;186;6327;188;6327
fare il favore;favorire;favore;;y;fare;c;;;0;14724;13;14724
fare un favore;favorire;favore;;y;fare;c;;0.12914003431797028;141;14724;142;14724
fare il favore;favoreggiare;favore;;y;fare;s;;;0;22;13;22
fare un favore;favoreggiare;favore;;y;fare;s;;0.5901381969451904;141;22;142;22
avere a fianco;fiancare;fianco;;;avere;;;0.3467105031013489;22;33;23;33
avere a fianco;affiancare;fianco;;y;avere;p;;0.3880087733268738;22;12948;23;12948
avere a fianco;sfiancare;fianco;;;avere;;;0.31522393226623535;22;166;23;166
avere a fianco;fiancheggiare;fianco;;;avere;;;0.2426833212375641;22;930;23;930
dare fiato;fiatare;fiato;;;dare;;;0.43758624792099;82;110;82;110
dare fiato;affiatare;fiato;;;dare;;;0.13209891319274902;82;326;82;326
dare fiato;sfiatare;fiato;;;dare;;;0.46007809042930603;82;44;82;44
prendere fiato;fiatare;fiato;;y;prendere;c;;0.585088849067688;36;110;36;110
prendere fiato;affiatare;fiato;;;prendere;;;0.2393234223127365;36;326;36;326
prendere fiato;sfiatare;fiato;;;prendere;;;0.5586321353912354;36;44;36;44
essere figlio;figliare;figlio;;;essere;;;0.1721847653388977;5095;100;5151;100
fare un figlio;figliare;figlio;;;fare;;;0.5963988900184631;70;100;71;100
fare film;filmare;film;;y;fare;c;;0.3869885206222534;131;1015;132;1015
fare il filo;filare;filo;;y;fare;c;;;0;749;13;749
fare il filo;affilare;filo;;;fare;;;;0;385;13;385
fare il filo;infilare;filo;;;fare;;;;0;2667;13;2667
fare il filo;sfilare;filo;;;fare;;;;0;2328;13;2328
avere fine;finire;fine;;y;avere;c;;0.5257526636123657;411;51047;411;51047
avere il fine;finire;fine;;;avere;;;0.19707205891609192;117;51047;117;51047
fare la fine;finire;fine;;y;fare;c;;;0;51047;0;51047
mettere fine;finire;fine;;y;mettere;c;;0.36277055740356445;1583;51047;1583;51047
essere in fiore;fiorire;fiore;;y;essere;c;;;0;2316;19;2316
essere in fiore;affiorare;fiore;;;essere;;;;0;1164;19;1164
essere in fiore;affiorare;fiore;;;essere;;;;0;1164;19;1164
essere in fiore;affiorare;fiore;;;essere;;;;0;1164;19;1164
essere in fiore;infiorare;fiore;;;essere;;;;0;44;19;44
essere in fiore;sfiorire;fiore;;;essere;;;;0;86;19;86
essere in fiore;sfiorire;fiore;;;essere;;;;0;86;19;86
essere in fiore;sfiorire;fiore;;;essere;;;;0;86;19;86
andare a fondo;fondare;fondo;;;andare;;;0.09562141448259354;126;53812;129;53812
andare a fondo;affondare;fondo;;y;andare;p;;0.46443256735801697;126;5291;129;5291
andare a fondo;sfondare;fondo;;;andare;;;0.23646727204322815;126;2228;129;2228
andare a fondo;sfondare;fondo;;;andare;;;0.23646727204322815;126;2228;129;2228
andare in fondo;fondare;fondo;;;andare;;;0.16291025280952454;35;53812;38;53812
andare in fondo;affondare;fondo;;;andare;;;0.18985667824745178;35;5291;38;5291
andare in fondo;sfondare;fondo;;;andare;;;0.2128697782754898;35;2228;38;2228
andare in fondo;sfondare;fondo;;;andare;;;0.2128697782754898;35;2228;38;2228
dare fondo;fondare;fondo;;;dare;;;0.15644964575767517;114;53812;114;53812
dare fondo;affondare;fondo;;;dare;;;0.2791973352432251;114;5291;114;5291
dare fondo;sfondare;fondo;;;dare;;;0.2913745939731598;114;2228;114;2228
dare fondo;sfondare;fondo;;;dare;;;0.2913745939731598;114;2228;114;2228
mandare a fondo;fondare;fondo;;;mandare;;;;0;53812;0;53812
mandare a fondo;affondare;fondo;;y;mandare;p;;;0;5291;0;5291
mandare a fondo;sfondare;fondo;;;mandare;;;;0;2228;0;2228
mandare a fondo;sfondare;fondo;;;mandare;;;;0;2228;0;2228
avere forma;formare;forma;;;avere;;;0.34436023235321045;925;50028;925;50028
avere forma;informare;forma;;;avere;;;-0.012661963701248169;925;11108;925;11108
avere forma;informare;forma;;;avere;;;-0.012661963701248169;925;11108;925;11108
avere forma;sformare;forma;;;avere;;;0.3044559955596924;925;36;925;36
avere la forma;formare;forma;;;avere;;;;0;50028;0;50028
avere la forma;informare;forma;;;avere;;;;0;11108;0;11108
avere la forma;informare;forma;;;avere;;;;0;11108;0;11108
avere la forma;sformare;forma;;;avere;;;;0;36;0;36
dare forma;formare;forma;;y;dare;c;;0.353541761636734;470;50028;475;50028
dare forma;informare;forma;;;dare;;;0.1290949285030365;470;11108;475;11108
dare forma;informare;forma;;;dare;;;0.1290949285030365;470;11108;475;11108
dare forma;sformare;forma;;;dare;;;0.24266386032104492;470;36;475;36
essere in forma;formare;forma;;;essere;;;0.26978233456611633;335;50028;349;50028
essere in forma;informare;forma;;;essere;;;0.07959853112697601;335;11108;349;11108
essere in forma;informare;forma;;;essere;;;0.07959853112697601;335;11108;349;11108
essere in forma;sformare;forma;;;essere;;;0.2165621519088745;335;36;349;36
mettere in forma;formare;forma;;;mettere;;;0.2519528865814209;23;50028;24;50028
mettere in forma;informare;forma;;;mettere;;;0.22923459112644196;23;11108;24;11108
mettere in forma;informare;forma;;;mettere;;;0.22923459112644196;23;11108;24;11108
mettere in forma;sformare;forma;;;mettere;;;0.38808968663215637;23;36;24;36
prendere forma;formare;forma;;y;prendere;c;;0.35656267404556274;889;50028;891;50028
prendere forma;informare;forma;;;prendere;;;0.08030933141708374;889;11108;891;11108
prendere forma;informare;forma;;;prendere;;;0.08030933141708374;889;11108;891;11108
prendere forma;sformare;forma;;;prendere;;;0.1951124668121338;889;36;891;36
avere fortuna;infortunare;fortuna;;;avere;;;;284;0;285;0
fare fortuna;infortunare;fortuna;;;fare;;;;202;0;202;0
avere forza;forzare;forza;;;avere;;;0.18967819213867188;247;5714;251;5714
avere forza;sforzare;forza;;;avere;;;0.2805579900741577;247;6211;251;6211
avere forza;sforzare;forza;;;avere;;;0.2805579900741577;247;6211;251;6211
avere forza;sforzare;forza;;;avere;;;0.2805579900741577;247;6211;251;6211
essere in forza;forzare;forza;;;essere;;;0.037080489099025726;80;5714;80;5714
essere in forza;sforzare;forza;;;essere;;;0.1541152447462082;80;6211;80;6211
essere in forza;sforzare;forza;;;essere;;;0.1541152447462082;80;6211;80;6211
essere in forza;sforzare;forza;;;essere;;;0.1541152447462082;80;6211;80;6211
fare forza;forzare;forza;;y;fare;c;;0.30317145586013794;98;5714;99;5714
fare forza;sforzare;forza;;;fare;;;0.33317244052886963;98;6211;99;6211
fare forza;sforzare;forza;;;fare;;;0.33317244052886963;98;6211;99;6211
fare forza;sforzare;forza;;;fare;;;0.33317244052886963;98;6211;99;6211
fare fotografia;fotografare;fotografia;;y;fare;c;;0.5612889528274536;52;2708;52;2708
essere fratello;affratellare;fratello;;;essere;;;0.17645417153835297;641;39;649;39
andare di fretta;affrettare;fretta;;;andare;;;0.4036765396595001;34;1273;34;1273
avere fretta;affrettare;fretta;;;avere;;;0.5235995054244995;202;1273;203;1273
essere di fretta;affrettare;fretta;;;essere;;;;0;1273;10;1273
fare di fretta;affrettare;fretta;;;fare;;;;0;1273;7;1273
fare fronte;affrontare;fronte;;y;fare;p;;0.4736465811729431;2257;29352;2260;29352
dare il frutto;fruttificare;frutto;;y;dare;s;;0.29933661222457886;49;171;49;171
essere frutto;fruttificare;frutto;;;essere;;;0.11076050996780396;2039;171;2042;171
mettere a frutto;fruttificare;frutto;;;mettere;;;0.24333646893501282;294;171;294;171
andare in fuga;fugare;fuga;;;andare;;;0.20611213147640228;48;275;48;275
essere in fuga;fugare;fuga;;;essere;;;0.17129524052143097;84;275;84;275
mettere in fuga;fugare;fuga;;y;mettere;c;;0.2620454430580139;544;275;544;275
andare in fumo;fumare;fumo;;;andare;;;0.12756356596946716;178;2182;178;2182
andare in fumo;sfumare;fumo;;y;andare;p;;0.3418217599391937;178;1389;178;1389
fare fumo;fumare;fumo;;;fare;;;;0;2182;15;2182
fare fumo;sfumare;fumo;;;fare;;;;0;1389;15;1389
mandare in fumo;fumare;fumo;;;mandare;;;0.31663525104522705;55;2182;56;2182
mandare in fumo;sfumare;fumo;;;mandare;;;0.3532539904117584;55;1389;56;1389
avere la funzione;funzionare;funzione;;y;avere;c;;;0;13160;0;13160
essere in funzione;funzionare;funzione;;y;essere;c;;0.500701904296875;439;13160;440;13160
mettere in funzione;funzionare;funzione;;;mettere;;;0.5062202215194702;163;13160;163;13160
andare a fuoco;infuocare;fuoco;;;andare;;;0.3589077591896057;127;703;127;703
andare a fuoco;sfocare;fuoco;;;andare;;;0.1472972333431244;127;129;127;129
andare a fuoco;sfocare;fuoco;;;andare;;;0.1472972333431244;127;129;127;129
dare a fuoco;infuocare;fuoco;;;dare;;;;0;703;11;703
dare a fuoco;sfocare;fuoco;;;dare;;;;0;129;11;129
dare a fuoco;sfocare;fuoco;;;dare;;;;0;129;11;129
dare fuoco;infuocare;fuoco;;y;dare;p;;0.34340694546699524;695;703;696;703
dare fuoco;sfocare;fuoco;;;dare;;;0.10076163709163666;695;129;696;129
dare fuoco;sfocare;fuoco;;;dare;;;0.10076163709163666;695;129;696;129
essere a fuoco;infuocare;fuoco;;;essere;;;;0;703;10;703
essere a fuoco;sfocare;fuoco;;;essere;;;;0;129;10;129
essere a fuoco;sfocare;fuoco;;;essere;;;;0;129;10;129
fare fuoco;infuocare;fuoco;;;fare;;;0.3336544334888458;368;703;368;703
fare fuoco;sfocare;fuoco;;;fare;;;0.17825664579868317;368;129;368;129
fare fuoco;sfocare;fuoco;;;fare;;;0.17825664579868317;368;129;368;129
mandare a fuoco;infuocare;fuoco;;y;mandare;p;;;0;703;11;703
mandare a fuoco;sfocare;fuoco;;;mandare;;;;0;129;11;129
mandare a fuoco;sfocare;fuoco;;;mandare;;;;0;129;11;129
mettere a fuoco;infuocare;fuoco;;y;mettere;p;;0.1917240470647812;378;703;378;703
mettere a fuoco;sfocare;fuoco;;;mettere;;;0.45739245414733887;378;129;378;129
mettere a fuoco;sfocare;fuoco;;;mettere;;;0.45739245414733887;378;129;378;129
prendere fuoco;infuocare;fuoco;;;prendere;;;0.41223984956741333;466;703;467;703
prendere fuoco;sfocare;fuoco;;;prendere;;;0.257344126701355;466;129;467;129
prendere fuoco;sfocare;fuoco;;;prendere;;;0.257344126701355;466;129;467;129
essere in gamba;sgambare;gamba;;;essere;;;0.5014356374740601;28;21;28;21
essere in gamba;sgambare;gamba;;;essere;;;0.5014356374740601;28;21;28;21
essere in gamba;gambizzare;gamba;;;essere;;;;28;0;28;5
prendere sotto gamba;sgambare;gamba;;;prendere;;;;0;21;8;21
prendere sotto gamba;sgambare;gamba;;;prendere;;;;0;21;8;21
prendere sotto gamba;gambizzare;gamba;;;prendere;;;;0;0;8;5
essere in gara;gareggiare;gara;;y;essere;s;;0.5009808540344238;119;2451;119;2451
fare a gara;gareggiare;gara;;y;fare;s;;0.28071609139442444;241;2451;242;2451
fare una gara;gareggiare;gara;;y;fare;s;;0.4196177124977112;45;2451;45;2451
mettere in gara;gareggiare;gara;;;mettere;;;;0;2451;15;2451
fare il gesto;gestire;gesto;;;fare;;;0.0034436506684869528;48;22706;50;22706
essere in ginocchio;inginocchiare;ginocchio;;;essere;;;;72;0;72;0
mettere in ginocchio;inginocchiare;ginocchio;;y;mettere;p;;;306;0;306;0
fare il gioco;giocare;gioco;;y;fare;c;;0.2445773184299469;176;48806;183;48806
mettere in gioco;giocare;gioco;;;mettere;;;0.2777183949947357;380;48806;381;48806
avere la gioia;gioire;gioia;;y;avere;c;;;0;669;0;669
andare a giro;girare;giro;;y;andare;c;;;0;23967;10;23967
andare in giro;girare;giro;;y;andare;c;;0.32891297340393066;909;23967;909;23967
fare il giro;girare;giro;;y;fare;c;;0.454046368598938;625;23967;628;23967
fare un giro;girare;giro;;y;fare;c;;0.4661741852760315;588;23967;592;23967
mettere in giro;girare;giro;;;mettere;;;0.17677000164985657;136;23967;136;23967
prendere in giro;girare;giro;;;prendere;;;0.25580939650535583;2117;23967;2118;23967
dare giustizia;giustiziare;giustizia;;;dare;;;;0;3037;17;3037
fare giustizia;giustiziare;giustizia;;;fare;;;0.41935738921165466;266;3037;268;3037
avere in gloria;gloriare;gloria;;;avere;;;;0;118;6;118
avere in gloria;glorificare;gloria;;;avere;;;;0;354;6;354
dare gloria;gloriare;gloria;;;dare;;;0.5421093106269836;38;118;38;118
dare gloria;glorificare;gloria;;y;dare;s;;0.5756492614746094;38;354;38;354
fare gola;golare;gola;;;fare;;;;120;0;120;13
fare gola;golare;gola;;;fare;;;;120;0;120;13
fare gola;sgolare;gola;;;fare;;;;120;0;120;0
mettere in grado;graduare;grado;;;mettere;;;0.26610830426216125;108;230;108;230
mettere in grado;gradire;grado;;;mettere;;;0.22680914402008057;108;3470;108;3470
mettere in grado;aggradare;grado;;;mettere;;;0.35718005895614624;108;113;108;113
avere la grazia;graziare;grazia;;;avere;;;;0;485;0;485
avere la grazia;aggraziare;grazia;;;avere;;;;0;92;0;92
avere la grazia;ingraziare;grazia;;;avere;;;;0;284;0;284
